subj,correct,problemSize,format,truth,rt
7,1,Large,Digits,False,718
7,1,Large,Digits,False,827
7,1,Large,Digits,False,990
7,1,Small,Digits,True,556
7,1,Small,Digits,True,645
7,1,Small,Digits,True,681
7,1,Small,Digits,True,678
7,1,Small,Digits,True,597
7,1,Small,Digits,True,688
7,1,Small,Digits,True,687
7,1,Small,Digits,False,781
7,1,Small,Digits,False,916
7,1,Small,Digits,False,862
7,1,Small,Digits,False,687
7,1,Small,Digits,False,871
7,1,Small,Digits,False,949
7,1,Small,Digits,False,819
7,1,Small,Digits,False,836
7,1,Small,Digits,False,796
7,1,Large,Digits,True,1296
7,1,Small,Digits,True,731
7,1,Large,Digits,True,895
7,1,Large,Digits,True,701
7,1,Large,Digits,True,775
7,1,Large,Digits,True,798
7,1,Large,Digits,True,767
7,1,Large,Digits,True,732
7,1,Large,Digits,True,683
7,0,Large,Digits,True,1007
7,1,Large,Digits,False,1114
7,1,Large,Digits,False,956
7,1,Small,Digits,True,853
7,1,Large,Digits,False,967
7,1,Large,Digits,False,1130
7,1,Large,Digits,False,1410
7,0,Large,Digits,False,1069
7,1,Large,Digits,False,1307
7,0,Large,Digits,False,752
7,1,Large,Digits,False,1366
7,1,Small,Digits,True,635
7,1,Small,Digits,True,793
7,1,Small,Digits,True,603
7,1,Small,Digits,True,911
7,1,Small,Digits,True,657
7,1,Small,Digits,True,590
7,1,Small,Words,True,701
7,1,Small,Words,False,1581
7,1,Small,Words,False,1675
7,1,Small,Words,False,1750
7,1,Small,Words,False,1644
7,1,Small,Words,False,1246
7,1,Small,Words,False,2258
7,1,Small,Words,False,1961
7,1,Small,Words,False,1728
7,1,Small,Words,False,1846
7,1,Large,Words,True,1194
7,1,Small,Words,True,1287
7,1,Large,Words,True,1796
7,1,Large,Words,True,1587
7,1,Large,Words,True,1237
7,1,Large,Words,True,1152
7,1,Large,Words,True,1822
7,1,Large,Words,True,1691
7,1,Large,Words,True,1197
7,1,Large,Words,True,1590
7,1,Large,Words,False,1255
7,1,Large,Words,False,1646
7,1,Small,Words,True,1032
7,1,Large,Words,False,2568
7,1,Large,Words,False,1363
7,1,Large,Words,False,2380
7,1,Large,Words,False,2548
7,1,Large,Words,False,1474
7,1,Large,Words,False,1951
7,1,Large,Words,False,1724
7,1,Small,Words,True,1321
7,1,Small,Words,True,1637
7,1,Small,Words,True,1087
7,1,Small,Words,True,1541
7,1,Small,Words,True,1651
7,1,Small,Words,True,1385
7,1,Small,Words,True,1210
7,1,Small,Words,False,1194
7,1,Small,Words,False,1198
7,1,Small,Words,False,1321
7,1,Small,Words,False,1600
7,1,Small,Words,False,1905
7,1,Small,Words,False,1277
7,1,Small,Words,False,1312
7,1,Small,Words,False,847
7,1,Small,Words,False,1181
7,1,Large,Words,True,1138
7,1,Small,Words,True,989
7,1,Large,Words,True,1266
7,1,Large,Words,True,1973
7,1,Large,Words,True,1129
7,1,Large,Words,True,1261
7,1,Large,Words,True,1175
7,1,Large,Words,True,1630
7,1,Large,Words,True,875
7,1,Large,Words,True,1208
7,1,Large,Words,False,1316
7,1,Large,Words,False,1180
7,1,Small,Words,True,976
7,1,Large,Words,False,1007
7,1,Large,Words,False,2412
7,1,Large,Words,False,1127
7,1,Large,Words,False,1640
7,1,Large,Words,False,2257
7,1,Large,Words,False,1646
7,1,Large,Words,False,1281
7,1,Small,Words,True,1060
7,1,Small,Words,True,1180
7,1,Small,Words,True,953
7,1,Small,Words,True,883
7,1,Small,Words,True,1171
7,0,Small,Words,True,1178
7,1,Small,Words,True,1168
7,1,Small,Words,False,1701
7,1,Small,Words,False,1568
7,1,Small,Words,False,1185
7,1,Small,Words,False,1636
7,1,Small,Words,False,1182
7,1,Small,Words,False,1648
7,1,Small,Words,False,974
7,1,Small,Words,False,1134
7,0,Small,Words,False,1051
7,1,Large,Words,True,1186
7,1,Small,Words,True,816
7,1,Large,Words,True,1147
7,1,Large,Words,True,1378
7,1,Large,Words,True,1074
7,1,Large,Words,True,1119
7,1,Large,Words,True,1827
7,1,Large,Words,True,1119
7,1,Large,Words,True,1118
7,1,Large,Words,True,723
7,0,Large,Words,False,867
7,1,Large,Words,False,2196
7,1,Small,Words,True,877
7,1,Large,Words,False,1749
7,1,Large,Words,False,795
7,1,Large,Words,False,1058
7,1,Large,Words,False,1739
7,1,Large,Words,False,868
7,1,Large,Words,False,1771
7,1,Large,Words,False,1526
7,1,Small,Words,True,674
7,1,Small,Words,True,815
7,1,Small,Words,True,759
7,1,Small,Words,True,1354
7,1,Small,Words,True,655
7,1,Small,Words,True,1998
7,1,Small,Words,True,956
7,1,Small,Words,False,1201
7,1,Small,Words,False,1065
7,1,Small,Words,False,1170
7,1,Small,Words,False,1609
7,1,Small,Words,False,1312
7,1,Small,Words,False,927
7,1,Small,Words,False,1878
7,1,Small,Words,False,1217
7,1,Small,Words,False,1096
7,1,Large,Words,True,1002
7,1,Small,Words,True,1217
7,1,Large,Words,True,938
7,1,Large,Words,True,1463
7,1,Large,Words,True,1811
7,1,Large,Words,True,980
7,1,Large,Words,True,1100
7,1,Large,Words,True,1034
7,1,Large,Words,True,1112
7,1,Large,Words,True,1300
7,1,Large,Words,False,1534
7,1,Large,Words,False,1992
7,1,Small,Words,True,929
7,1,Large,Words,False,1418
7,1,Large,Words,False,1224
7,1,Large,Words,False,1410
7,1,Large,Words,False,1140
7,1,Large,Words,False,1592
7,1,Large,Words,False,2258
7,1,Large,Words,False,1716
7,1,Small,Words,True,1498
7,1,Small,Words,True,1158
7,1,Small,Words,True,1137
7,1,Small,Words,True,2595
7,1,Small,Words,True,967
7,1,Small,Words,True,1117
8,1,Small,Digits,True,1354
8,1,Small,Digits,False,955
8,1,Small,Digits,False,1018
8,1,Small,Digits,False,908
8,1,Small,Digits,False,867
8,1,Small,Digits,False,1061
8,1,Small,Digits,False,1183
8,1,Small,Digits,False,1083
8,1,Small,Digits,False,1066
8,1,Small,Digits,False,869
8,1,Large,Digits,True,1632
8,1,Small,Digits,True,953
8,1,Large,Digits,True,811
8,1,Large,Digits,True,962
8,1,Large,Digits,True,1702
8,1,Large,Digits,True,1732
8,1,Large,Digits,True,1778
8,1,Large,Digits,True,2271
8,1,Large,Digits,True,2222
8,1,Large,Digits,True,921
8,1,Large,Digits,False,1024
8,1,Large,Digits,False,1165
8,1,Small,Digits,True,1265
8,1,Large,Digits,False,2062
8,1,Large,Digits,False,1619
8,1,Large,Digits,False,2059
8,1,Large,Digits,False,2306
8,1,Large,Digits,False,1098
8,0,Large,Digits,False,1405
8,1,Large,Digits,False,1011
8,1,Small,Digits,True,1021
8,1,Small,Digits,True,949
8,1,Small,Digits,True,915
8,1,Small,Digits,True,1610
8,1,Small,Digits,True,915
8,1,Small,Digits,True,1285
8,1,Small,Digits,True,779
8,1,Small,Digits,False,2545
8,1,Small,Digits,False,1053
8,1,Small,Digits,False,897
8,1,Small,Digits,False,1050
8,1,Small,Digits,False,968
8,1,Small,Digits,False,1284
8,1,Small,Digits,False,910
8,1,Small,Digits,False,941
8,1,Small,Digits,False,1002
